Line,Content
1236,2000766+4002
1237,2000749+1334
1238,2000748+8004
1239,2000747+4002
1240,2000746+11339
1241,2000745+3335
1242,2000744+14674
1243,2000743+1334
1244,2000742+2001
1245,2000741+2001
1246,2000734+2940
1247,2000706+667
1248,2000705+667
1249,2000704+667
1250,2000703+1334
1251,2000699+49000
1252,2000698+
1253,2000663+49000
1254,2000661+
1255,2000659+23940
1256,2000648-1+1600
1257,2000648+1600
1258,2000574+11250
1259,2000573+9900
1260,2000567+5336
1261,2000566+4669
1262,2000565+5336
1263,2000564+5336
1264,2000563+5336
1265,2000562+6003
1266,2000561+4669
1267,2000560+3335
1268,2000559+4669
1269,2000558+5336
1270,2000557+6670
1271,2000531-1+
1272,2000508+1250
1273,2000507+2940
1274,2000505+1334
1275,2000503+1334
1277,2000478+1800
1278,2000474+5336
1279,2000473+8004
1280,2000472+5336
1281,2000471+7337
1282,2000470+3335
1283,2000446+4669
1284,2000445+4669
1285,2000444+5336
1286,2000443+2001
1287,2000442+4002
1288,2000441+4002
1289,2000439+9800
1290,2000439+2970
1291,2000431+2668
1292,2000430+667
1293,2000429+2001
1294,2000428+667
1295,2000427+5336
1296,2000408+2100
1297,2000401+2564
1298,2000354+3420
1299,2000353+5336
1300,2000352+6670
1301,2000351+4669
1302,2000350+3335
1303,2000349+1334
1304,2000348+3335
1305,2000333+667
1306,2000332+667
1307,2000331+667
1308,2000330+1334
1309,2000329+1334
1310,2000328+667
1311,2000327+667
1312,2000326+667
1313,2000325+667
1314,2000324+1334
1315,2000323+667
1316,2000322+667
1317,2000321+1334
1318,2000320+1334
1319,2000319+2001
1320,2000318+1334
1321,2000317+2001
1322,2000316+1334
1323,2000315+667
1324,2000314+1334
1325,2000311+31680
1326,2000285-1+55000
1327,2000283+27360
1328,2000278+2668
1329,2000277+4669
1330,2000276+4669
1331,2000275+1334
1332,2000274+3335
1333,2000273+3335
1334,2000249+667
1335,2000235+2001
1336,2000234+49500
1337,2000231-3+4788
1338,2000230-1+12996
1339,2000229-3+6840
1340,2000137+2250
1341,2000122+2668
1342,2000121+1334
1343,2000120+4002
1344,2000119+4002
1345,2000118+2668
1346,2000117+3335
1347,2000116+2668
1348,2000090+2668
1349,2000089+2668
1350,2000088+2668
1351,2000087+2668
1352,2000086+3335
1353,2000085+3335
1354,2000084+3335
1355,2000083+3335
1356,2000040+2736
1357,2000034-1+3200
1358,2000034+1600
1359,1944+5400
1360,1938+8100
1361,1884+50490
1362,1871+50490
1363,1846+30690
1364,1722+59400
1365,1704+5940
1366,1681+1980
1367,1670+24750
1368,1652+1980
1369,1641+29700
1370,1608+29700
1371,1606+11700
1372,1605+4950
1373,1596+45540
1374,1567+875
1375,1520+6125
1376,1516+39600
1377,1321+227700
1378,1229+3500
1389,1002760+2001
1390,1002759+15341
1391,1002751-2+15048
1392,1002725+2668
1393,1002724+2668
1394,1002723+3335
1395,1002722+5336
1396,1002721+4002
1397,1002716+4950
1398,1002715+50490
1399,1002709+2668
1400,1002708+1334
1401,1002684+4669
1402,1002683+2668
1403,1002682+2668
1404,1002681+4002
1405,1002680+4669
1406,1002679+2668
1407,1002678+2668
1408,1002669+1800
1409,1002658+4669
1410,1002657+4002
1411,1002656+3335
1412,1002655+2668
1413,1002654+2001
1414,1002653+3335
1415,1002652+2668
1416,1002651+3335
1417,1002647+18000
1418,1002647+7200
1419,1002645+4002
1420,1002644+50490
1421,1002629+19800
1422,1002619+24150
1423,1002617+
1424,1002605+51840
1425,1002579+7920
1426,1002577+5336
1427,1002562+1368
1428,1002562+
1429,1002509+2334
1430,1002499+
1431,1002499+684
1432,1002490+3360
1433,1002445+250470
1434,1002442+524
1435,1002407+1368
1436,1002331+
1437,1002290+17100
1438,1002274+9600
1439,1002209+150480
1440,1002203+684
1441,1002203+
1443,1002171+2880
